run_id,roi_prior_mu,roi_prior_sigma,roi_prior_dist,qc_status_code,qc_primary_review_check,qc_flagged_channels
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent,meta,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=meta|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=moloco|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent,meta"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=snapchat|mu=1.000000|sigma=0.500000|dist=LogNormal|1.000000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=beehiiv|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,meta,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent,meta"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=meta|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,liveintent
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=moloco|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,liveintent,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=snapchat|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,liveintent"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,beehiiv
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=snapchat|mu=1.000000|sigma=1.500000|dist=LogNormal|1.000000|1.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.0,1.5,LogNormal,REVIEW,PriorPosteriorShift,liveintent
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,0.5,LogNormal,REVIEW,PriorPosteriorShift,"liveintent,meta"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=moloco|mu=1.500000|sigma=0.500000|dist=LogNormal|1.500000|0.500000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,0.5,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent,meta"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=amazon|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,beehiiv,liveintent"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=google|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,liveintent,snapchat"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=liveintent|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,1.0,LogNormal,REVIEW,PriorPosteriorShift,"amazon,liveintent,meta"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=moloco|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,1.0,LogNormal,REVIEW,PriorPosteriorShift,"beehiiv,liveintent"
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=1.500000|sigma=1.000000|dist=LogNormal|1.500000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",1.5,1.0,LogNormal,REVIEW,PriorPosteriorShift,amazon
"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=100.0|target=tiktok|mu=2.000000|sigma=1.000000|dist=LogNormal|2.000000|1.000000|LogNormal|alpha=0p51|ec=0p5|slope=1p2|lag=4|decay=geometric",2.0,1.0,LogNormal,REVIEW,PriorPosteriorShift,liveintent
